Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
3.05101e-006	-7.15256e-007	-7.63685e-007	1.6925e+007	
3.05101e-006	-7.15256e-007	50	1.22146e+006	
50	-7.15256e-007	-7.63685e-007	3.41065e+006	
50	-7.15256e-007	50	887508	
50	-5	-7.63685e-007	227108	
50	-5	50	69251.5	
75	-5	-7.63685e-007	20204.5	
75	-5	50	8956.64	
75	25	-7.63685e-007	1.61902e+007	
75	25	50	1.06286e+007	
125	25	-7.63685e-007	947793	
125	25	50	1.76349e+006	
125	-5	-7.63685e-007	253.057	
125	-5	50	320.269	
150	-5	-7.63685e-007	345.21	
150	-5	50	316.244	
150	55	-7.63685e-007	1899.51	
150	55	50	2581.69	
50	55	-7.63685e-007	65024.6	
50	55	50	596973	
50	50	-7.63685e-007	612705	
50	50	50	9.7132e+006	
3.05101e-006	50	-7.63685e-007	1.20026e+006	
3.05101e-006	50	50	1.56487e+007	
3.05101e-006	-7.15256e-007	2.5	1.40307e+007	
3.05101e-006	-7.15256e-007	5	1.10118e+007	
3.05101e-006	-7.15256e-007	7.5	1.17605e+007	
0	0	9.52254	1.00924e+007	
0	0	12.3176	9.41415e+006	
0	0	15.1824	8.53374e+006	
3.05101e-006	-7.15256e-007	17.5	9.30492e+006	
0	0	19.5225	7.98668e+006	
0	0	22.6824	7.2398e+006	
0	0	25.2951	6.35228e+006	
3.05101e-006	-7.15256e-007	27.5	6.80887e+006	
0	0	29.5225	5.64735e+006	
3.05101e-006	-7.15256e-007	32.5	4.95321e+006	
0	0	35.1824	4.12932e+006	
3.05101e-006	-7.15256e-007	37.5	4.07525e+006	
0	0	39.5225	3.18708e+006	
3.05101e-006	-7.15256e-007	42.5	2.33856e+006	
0	0	45.4775	1.69099e+006	
0	0	47.6824	1.24391e+006	
47.5	-7.15256e-007	-7.63685e-007	4.25574e+006	
45	-7.15256e-007	-7.63685e-007	4.48821e+006	
42.5	-7.15256e-007	-7.63685e-007	4.8349e+006	
40.2951	0	0	5.16942e+006	
37.3176	0	0	5.60023e+006	
34.4098	0	0	5.98613e+006	
32.3392	0	0	6.24226e+006	
30.2951	0	0	6.47589e+006	
27.1701	0	0	6.80619e+006	
24.7049	0	0	7.04226e+006	
22.5	-7.15256e-007	-7.63685e-007	7.23763e+006	
20.5902	0	0	7.39173e+006	
17.3176	0	0	7.63422e+006	
14.5225	0	0	7.83099e+006	
12.5	-7.15256e-007	-7.63685e-007	7.97189e+006	
10.5902	0	0	8.13359e+006	
7.68238	0	0	8.42473e+006	
5.18238	0	0	8.94154e+006	
2.02254	0	0	1.10771e+007	
50	-7.15256e-007	2.5	3.85089e+006	
50	0	4.81762	3.11853e+006	
50	-7.15256e-007	7.5	3.52044e+006	
50	0	9.70491	2.8834e+006	
50	-7.15256e-007	12.5	3.19967e+006	
50	0	15.5902	2.85027e+006	
50	-7.15256e-007	17.5	3.26455e+006	
50	0	20.1824	2.69785e+006	
50	-7.15256e-007	22.5	2.98062e+006	
50	0	25.7725	2.67954e+006	
50	-7.15256e-007	27.5	2.96143e+006	
50	0	30.2951	2.45494e+006	
50	-7.15256e-007	32.5	2.59821e+006	
50	0	35.6598	2.26592e+006	
50	-7.15256e-007	37.5	2.37781e+006	
50	0	40.1957	1.86287e+006	
50	0	42.6824	1.90304e+006	
50	-7.15256e-007	45	1.40168e+006	
50	-7.15256e-007	47.5	1.28119e+006	
47.5	-7.15256e-007	50	403779	
45.1824	0	50	461580	
42.0225	0	50	507531	
40	-7.15256e-007	50	538428	
37.3028	0	50	561965	
34.7961	0	50	572784	
32.2049	0	50	576962	
30	-7.15256e-007	50	572966	
27.6824	0	50	563488	
24.6701	0	50	545032	
22.2049	0	50	529490	
20	-7.15256e-007	50	513205	
17.6824	0	50	497607	
15	-7.15256e-007	50	474955	
12.5	-7.15256e-007	50	460952	
10.2951	0	50	463025	
7.5	-7.15256e-007	50	428156	
5	-7.15256e-007	50	490793	
2.5	-7.15256e-007	50	573703	
50	-2.5	-7.63685e-007	455813	
50	-5	2.5	115170	
50	-5	5	133400	
50	-5	7.5	50823	
50	-5	9.81762	111120	
50	-5	12.6824	96793.1	
50	-5	15.2951	157539	
50	-5	17.5	168073	
50	-5	19.8176	228360	
50	-5	22.6824	270178	
50	-5	25.1824	323717	
50	-5	27.5	361422	
50	-5	29.8176	396150	
50	-5	32.6824	422123	
50	-5	35.1824	425515	
50	-5	37.5	411502	
50	-5	40	368696	
50	-5	42.6691	308249	
50	-5	44.8176	214305	
50	-5	47.5	62820.3	
50	-2.5	50	149965	
52.6824	-5	0	257789	
55.1824	-5	0	117619	
56.9529	-5	0	39932.4	
60	-5	-7.63685e-007	29408.7	
62.3176	-5	0	35995.1	
65	-5	-7.63685e-007	119380	
67.3176	-5	0	161571	
70	-5	-7.63685e-007	135110	
72.5	-5	-7.63685e-007	61479.4	
75	-5	2.20491	34527.5	
75	-5	5.47746	66730.1	
75	-5	7.5	54516.5	
75	-5	10.1824	53530.5	
75	-5	12.2264	34498.1	
75	-5	14.8176	58257.2	
75	-5	17.5	98972.9	
75	-5	20.2736	122055	
75	-5	22.3176	133876	
75	-5	25	134746	
75	-5	27.3176	123797	
75	-5	30	105467	
75	-5	32.2049	78788.7	
75	-5	35	52362.4	
75	-5	37.5	39888.2	
75	-5	40	42227.9	
75	-5	42.2049	56649.7	
75	-5	45.5902	38651.3	
75	-5	47.5	22849.4	
52.5	-5	50	77142.3	
55.1824	-5	50	119853	
57.5	-5	50	116455	
60	-5	50	111959	
62.3176	-5	50	104496	
65	-5	50	86950.9	
66.9098	-5	50	64238.6	
69.5225	-5	50	47495.2	
72.5	-5	50	34535.2	
75	22.5	-7.63685e-007	2.34189e+006	
75	20	-7.63685e-007	881064	
75	17.5	-7.63685e-007	215525	
75	15	-7.63685e-007	263920	
75	12.7951	0	261118	
75	10	-7.63685e-007	284040	
75	7.5	-7.63685e-007	272479	
75	5.18238	0	235720	
75	2.30432	0	139906	
75	-0.182377	0	64566.8	
75	-2.5	-7.63685e-007	31804.7	
75	25	2.69568	1.5441e+007	
75	25	5.18238	1.50261e+007	
75	25	7.68238	1.41903e+007	
75	25	10	1.54937e+007	
75	25	12.3176	1.46246e+007	
75	25	15	1.5177e+007	
75	25	17.6691	1.40176e+007	
75	25	19.8176	1.46e+007	
75	25	22.5	1.37416e+007	
75	25	24.8176	1.44321e+007	
75	25	27.6957	1.35582e+007	
75	25	30.1824	1.42724e+007	
75	25	32.6824	1.30462e+007	
75	25	35	1.37449e+007	
75	25	37.6824	1.25391e+007	
75	25	40	1.32216e+007	
75	25	42.5	1.21221e+007	
